"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.5891 ± 0.0149","0.6474 ± 0.0226","0.7801 ± 0.0240","0.8793 ± 0.0126","1.0206 ± 0.0249"
"regENN","0.5919 ± 0.0164","0.5953 ± 0.0204","0.5942 ± 0.0171","0.6252 ± 0.0229","0.6461 ± 0.0162"
"regAENN","0.5914 ± 0.0165","0.5876 ± 0.0222","0.6004 ± 0.0202","0.6135 ± 0.0211","0.6159 ± 0.0185"
"regEF","0.5905 ± 0.0153","0.5980 ± 0.0171","0.6034 ± 0.0161","0.6391 ± 0.0182","0.6506 ± 0.0226"
"regCVCF","0.5902 ± 0.0143","0.6231 ± 0.0227","0.6225 ± 0.0230","0.6606 ± 0.0244","0.6926 ± 0.0184"
