"ruido","algoritmo","preproc","iteracion","rmse","mae","r2"
0,"CART","Ningún",21,0.588296050797923,0.448187231459302,0.869254796209613
0,"CART","Ningún",22,0.591526368945996,0.446254022848232,0.86664513760057
0,"CART","Ningún",23,0.588897274337125,0.456878265112569,0.872784203662542
0,"CART","Ningún",24,0.595085323514242,0.45003503840171,0.868081072880656
0,"CART","Ningún",25,0.585265371106317,0.443686955852898,0.873562378235916
0,"RF","Ningún",1,0.211359089693286,0.153093675292668,0.983402895535932
0,"RF","Ningún",2,0.208661664844935,0.14998368607517,0.983796819860223
0,"RF","Ningún",3,0.220273740428444,0.155382389966143,0.982145722786804
0,"RF","Ningún",4,0.236028838149209,0.160163282548477,0.97895779290308
0,"RF","Ningún",5,0.205970254116895,0.148673531672817,0.983972829907983
0,"RF","Ningún",6,0.219189091609328,0.154425927977839,0.981808976487755
0,"RF","Ningún",7,0.227402591483415,0.1577521025878,0.980936986928723
0,"RF","Ningún",8,0.209774633241632,0.150593969500924,0.983322368058305
0,"RF","Ningún",9,0.2157892454745,0.154990691881919,0.98247321765906
0,"RF","Ningún",10,0.217341229594982,0.152975867959372,0.982771664044612
0,"RF","Ningún",11,0.207344365106061,0.148671161429452,0.983655752367288
0,"RF","Ningún",12,0.224610940663369,0.157542826555761,0.981159342708746
0,"RF","Ningún",13,0.216132974571939,0.151113544167436,0.982360070959803
0,"RF","Ningún",14,0.220170462120695,0.153798764976959,0.982250574547174
0,"RF","Ningún",15,0.224507821333594,0.160435126309304,0.981349859222673
0,"RF","Ningún",16,0.20984356797576,0.15051770602706,0.983508590468582
0,"RF","Ningún",17,0.213874057793124,0.152667796244998,0.983333090023728
0,"RF","Ningún",18,0.223287872251199,0.156586726685134,0.981308754257947
0,"RF","Ningún",19,0.224532555355468,0.156293883240912,0.981043158827289
0,"RF","Ningún",20,0.22106782553111,0.157695141712877,0.981554125729614
0,"RF","Ningún",21,0.208300608838903,0.149424627233518,0.983608640366007
0,"RF","Ningún",22,0.214857596490789,0.150410003080715,0.982406102261338
0,"RF","Ningún",23,0.21606588523885,0.157639373653432,0.982874851151257
0,"RF","Ningún",24,0.226147023505072,0.157182870541205,0.980948446979606
0,"RF","Ningún",25,0.225417282495306,0.157772597722376,0.98124379024608
0,"SVM","Ningún",1,0.19585645485286,0.133827486048535,0.9857483139648
0,"SVM","Ningún",2,0.179449475805138,0.132382500936134,0.988016068661451
0,"SVM","Ningún",3,0.184022159653033,0.132112538742619,0.987538880327238
0,"SVM","Ningún",4,0.187003161068203,0.129945295099572,0.986791331245948
0,"SVM","Ningún",5,0.186824714087428,0.132835496321766,0.986813896235812
0,"SVM","Ningún",6,0.185286773014382,0.133127388847353,0.987001055279815
0,"SVM","Ningún",7,0.182893015283873,0.129741742130838,0.987669094585291
0,"SVM","Ningún",8,0.182113907785871,0.131513007329266,0.987430596406963
0,"SVM","Ningún",9,0.186616336743405,0.134510375861936,0.986891834366603
0,"SVM","Ningún",10,0.190475378780023,0.13190383864146,0.986767655950123
0,"SVM","Ningún",11,0.179270215872199,0.127933886896255,0.987782095052998
0,"SVM","Ningún",12,0.187863264645277,0.132001799040448,0.986819922412491
0,"SVM","Ningún",13,0.187179839963887,0.132727084179637,0.986769601788235
0,"SVM","Ningún",14,0.177642248470342,0.129320590971214,0.988445298922653
0,"SVM","Ningún",15,0.206963615189446,0.139026962445456,0.984150806510971
