"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.9869 ± 0.0010","0.9849 ± 0.0013","0.9825 ± 0.0014","0.9759 ± 0.0020","0.9499 ± 0.0138"
"regENN","0.9869 ± 0.0009","0.9860 ± 0.0009","0.9849 ± 0.0011","0.9816 ± 0.0016","0.9687 ± 0.0045"
"regAENN","0.9868 ± 0.0009","0.9855 ± 0.0010","0.9833 ± 0.0014","0.9801 ± 0.0016","0.9669 ± 0.0045"
"regEF","0.9869 ± 0.0010","0.9863 ± 0.0010","0.9852 ± 0.0012","0.9828 ± 0.0016","0.9756 ± 0.0028"
"regCVCF","0.9850 ± 0.0012","0.9845 ± 0.0013","0.9824 ± 0.0021","0.9746 ± 0.0027","0.9652 ± 0.0047"
