"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.8240 ± 0.0230","1.2387 ± 0.0709","1.5503 ± 0.0608","1.8711 ± 0.0577","2.1029 ± 0.0755"
"regENN","0.8242 ± 0.0227","0.8682 ± 0.0221","0.9041 ± 0.0236","0.9845 ± 0.0202","1.1478 ± 0.0360"
"regAENN","0.8245 ± 0.0224","0.8694 ± 0.0230","0.8991 ± 0.0237","0.9602 ± 0.0236","1.0445 ± 0.0342"
"regEF","0.8241 ± 0.0230","0.8627 ± 0.0228","0.8873 ± 0.0218","0.9479 ± 0.0221","1.0146 ± 0.0272"
"regCVCF","0.8266 ± 0.0240","0.8693 ± 0.0222","0.9014 ± 0.0247","0.9778 ± 0.0223","1.0521 ± 0.0362"
