"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.9822 ± 0.0012","0.9388 ± 0.0033","0.8691 ± 0.0071","0.7860 ± 0.0131","0.6479 ± 0.0149"
"regENN","0.9822 ± 0.0011","0.9797 ± 0.0014","0.9744 ± 0.0011","0.9650 ± 0.0026","0.9249 ± 0.0078"
"regAENN","0.9822 ± 0.0011","0.9795 ± 0.0013","0.9754 ± 0.0011","0.9708 ± 0.0019","0.9544 ± 0.0035"
"regEF","0.9822 ± 0.0011","0.9803 ± 0.0011","0.9762 ± 0.0012","0.9680 ± 0.0019","0.9480 ± 0.0026"
"regCVCF","0.9800 ± 0.0011","0.9763 ± 0.0016","0.9695 ± 0.0024","0.9512 ± 0.0030","0.9154 ± 0.0069"
