"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.4481 ± 0.0109","0.5159 ± 0.0206","0.6381 ± 0.0190","0.7259 ± 0.0136","0.8512 ± 0.0240"
"regENN","0.4501 ± 0.0125","0.4548 ± 0.0148","0.4580 ± 0.0122","0.4833 ± 0.0207","0.5139 ± 0.0151"
"regAENN","0.4499 ± 0.0126","0.4496 ± 0.0166","0.4610 ± 0.0159","0.4702 ± 0.0178","0.4771 ± 0.0133"
"regEF","0.4489 ± 0.0120","0.4563 ± 0.0136","0.4610 ± 0.0132","0.4956 ± 0.0155","0.5113 ± 0.0225"
"regCVCF","0.4457 ± 0.0096","0.4750 ± 0.0190","0.4778 ± 0.0188","0.5122 ± 0.0196","0.5468 ± 0.0185"
