"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.6163 ± 0.0147","0.8047 ± 0.0305","0.9844 ± 0.0345","1.2261 ± 0.0384","1.4160 ± 0.0614"
"regENN","0.6164 ± 0.0145","0.6460 ± 0.0133","0.6747 ± 0.0167","0.7296 ± 0.0163","0.8278 ± 0.0261"
"regAENN","0.6164 ± 0.0143","0.6476 ± 0.0149","0.6766 ± 0.0160","0.7193 ± 0.0186","0.7733 ± 0.0221"
"regEF","0.6163 ± 0.0147","0.6432 ± 0.0133","0.6639 ± 0.0142","0.7077 ± 0.0182","0.7534 ± 0.0212"
"regCVCF","0.6176 ± 0.0148","0.6467 ± 0.0127","0.6711 ± 0.0146","0.7233 ± 0.0160","0.7778 ± 0.0266"
