"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.1542 ± 0.0036","0.3008 ± 0.0091","0.4543 ± 0.0117","0.5962 ± 0.0161","0.7730 ± 0.0164"
"regENN","0.1544 ± 0.0031","0.1674 ± 0.0046","0.1934 ± 0.0039","0.2300 ± 0.0087","0.3325 ± 0.0151"
"regAENN","0.1546 ± 0.0034","0.1674 ± 0.0043","0.1880 ± 0.0040","0.2082 ± 0.0061","0.2602 ± 0.0103"
"regEF","0.1545 ± 0.0031","0.1652 ± 0.0037","0.1846 ± 0.0042","0.2174 ± 0.0056","0.2863 ± 0.0083"
"regCVCF","0.1588 ± 0.0034","0.1764 ± 0.0038","0.2038 ± 0.0057","0.2558 ± 0.0069","0.3444 ± 0.0137"
