"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.1869 ± 0.0067","0.2009 ± 0.0088","0.2160 ± 0.0084","0.2537 ± 0.0111","0.3631 ± 0.0493"
"regENN","0.1872 ± 0.0067","0.1937 ± 0.0065","0.2012 ± 0.0070","0.2219 ± 0.0100","0.2888 ± 0.0212"
"regAENN","0.1878 ± 0.0067","0.1969 ± 0.0067","0.2115 ± 0.0090","0.2304 ± 0.0098","0.2972 ± 0.0206"
"regEF","0.1871 ± 0.0067","0.1914 ± 0.0068","0.1988 ± 0.0078","0.2147 ± 0.0100","0.2550 ± 0.0151"
"regCVCF","0.2000 ± 0.0078","0.2034 ± 0.0085","0.2169 ± 0.0132","0.2606 ± 0.0145","0.3048 ± 0.0208"
