"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.1324 ± 0.0027","0.1446 ± 0.0037","0.1592 ± 0.0036","0.1840 ± 0.0036","0.2387 ± 0.0127"
"regENN","0.1326 ± 0.0026","0.1363 ± 0.0024","0.1421 ± 0.0023","0.1535 ± 0.0033","0.1893 ± 0.0075"
"regAENN","0.1329 ± 0.0027","0.1383 ± 0.0024","0.1461 ± 0.0027","0.1585 ± 0.0037","0.1918 ± 0.0070"
"regEF","0.1326 ± 0.0027","0.1351 ± 0.0026","0.1402 ± 0.0026","0.1487 ± 0.0032","0.1715 ± 0.0052"
"regCVCF","0.1361 ± 0.0027","0.1386 ± 0.0026","0.1466 ± 0.0042","0.1624 ± 0.0043","0.1902 ± 0.0076"
