"ruido","algoritmo","preproc","rmse_mean","rmse_sd","mae_mean","mae_sd","r2_mean","r2_sd"
0,"1NN","Ningún",0.824016598409362,0.0229623474948628,0.616296277345642,0.0146734906407684,0.746265477476441,0.0138113463291023
0.1,"1NN","Ningún",1.23867944681364,0.0708546214243982,0.804683314725781,0.0305077639955576,0.425541243082132,0.0629036920644951
0.2,"1NN","Ningún",1.55027535064624,0.0607968150505522,0.984410240637461,0.0344550324550265,0.10105620097298,0.0731625113375439
0.3,"1NN","Ningún",1.87105261864264,0.0576541530539837,1.22613763410157,0.0384447024675443,-0.308121689461224,0.0736998925893014
0.4,"1NN","Ningún",2.1029369529365,0.075530192748652,1.41597976748405,0.0613802533031823,-0.653938727285864,0.125437446629421
0,"1NN","regENN",0.824202904120277,0.0226723223953879,0.616365404472103,0.0144855261500999,0.746158561121203,0.0135875868521603
0.1,"1NN","regENN",0.868241990064494,0.0220647818966188,0.646022954792504,0.0133441920228391,0.718324779413032,0.0141085840520977
0.2,"1NN","regENN",0.904082047203667,0.0235513372755037,0.674737664586054,0.0166788327641585,0.694585697770673,0.0155724554076191
0.3,"1NN","regENN",0.984480646612723,0.0202274194657877,0.729625612041663,0.0163135559439142,0.637939792274806,0.0145270592478534
0.4,"1NN","regENN",1.14782613478637,0.0359776810199648,0.827803397643384,0.0261007873909804,0.50748024678578,0.0320433460839577
0,"1NN","regAENN",0.824461076168993,0.0223808413519859,0.616378733155195,0.0143396366000483,0.745998308268433,0.0135414713855026
0.1,"1NN","regAENN",0.869433952938962,0.0230357803861785,0.647558797903719,0.0148765971549113,0.717544098226377,0.014614395670906
0.2,"1NN","regAENN",0.899050863410975,0.0237222103145749,0.676640325936461,0.0159512034640776,0.697921196384045,0.0166589158874359
0.3,"1NN","regAENN",0.960225082407448,0.0235822223903534,0.719346113511333,0.0185949023258921,0.655520363569012,0.0162179590620478
0.4,"1NN","regAENN",1.04452179081944,0.0342357696741198,0.773272896342653,0.0220996427083149,0.592174435572013,0.0262648520395444
0,"1NN","regEF",0.824051206621563,0.0229576158881353,0.616341379009228,0.0146790912435575,0.746244254937315,0.0138081272242052
0.1,"1NN","regEF",0.862690490001682,0.0228040672932431,0.643155840294808,0.0133135488306739,0.721904606755993,0.0144496331248722
0.2,"1NN","regEF",0.887331249478133,0.0217772411131781,0.663925402338077,0.0142019851905595,0.705816285882932,0.0141454082487232
0.3,"1NN","regEF",0.94792834116312,0.0220912125922065,0.707688080566655,0.0181609625808883,0.664303557103001,0.0149795127925527
0.4,"1NN","regEF",1.01463002886133,0.0271952182042949,0.753396588527474,0.0212154701918155,0.615335414925692,0.0199791326897963
0,"1NN","regCVCF",0.826604519421352,0.0239996890545587,0.617638937380805,0.0147666914426067,0.7446620677914,0.0143016740632984
0.1,"1NN","regCVCF",0.869304885997652,0.0221613163705354,0.646657676766701,0.0126625479920571,0.7176301262768,0.0142081603469706
0.2,"1NN","regCVCF",0.901365371611267,0.0246640496336287,0.67105885885285,0.014629565023716,0.69639875548222,0.016273535188447
0.3,"1NN","regCVCF",0.977785903516011,0.0222727384583341,0.723284405184883,0.0160359908555636,0.642822715716642,0.0157144538438229
0.4,"1NN","regCVCF",1.05207065307729,0.0362210383525457,0.777836168226918,0.026579969206192,0.586271647179184,0.0274891915650624
0,"CART","Ningún",0.589113081524189,0.0148801172695377,0.448060416430613,0.0109367933182072,0.870305406636646,0.00700426238289012
0.1,"CART","Ningún",0.64735207706406,0.0225980290998771,0.515890428018438,0.0206367491238676,0.843314922920802,0.011026391952395
0.2,"CART","Ningún",0.780060534863028,0.0239991957163073,0.6380981667808,0.0190020421281532,0.772583434120988,0.0135416548586495
0.3,"CART","Ningún",0.879263496202869,0.012604550876313,0.725856307008514,0.0136196118417654,0.711253781103326,0.00785478831955534
0.4,"CART","Ningún",1.02057278418221,0.0248738888856701,0.851231386822159,0.024028773015649,0.610819279639414,0.0191774995051684
0,"CART","regENN",0.591878027387702,0.0163692194165516,0.450114965692182,0.0124852973253955,0.869061885033991,0.00777332631243539
0.1,"CART","regENN",0.595293203803432,0.0203555106406519,0.454814717966662,0.0148082492503667,0.867474503490674,0.00993967066145015
0.2,"CART","regENN",0.594163601844994,0.0171057888028809,0.458008181498962,0.0121902965218135,0.868060981435933,0.00765547339056414
0.3,"CART","regENN",0.625160082586478,0.0229334006391737,0.483269450545277,0.020664684325758,0.853928751111661,0.00971015650416403
0.4,"CART","regENN",0.646106955511448,0.0161836672680464,0.513921044783169,0.0150645712902907,0.844049362721547,0.00713695339832365
0,"CART","regAENN",0.591395090460347,0.016497068491178,0.449939625453779,0.0125688681212646,0.869271135374749,0.00787053498569932
0.1,"CART","regAENN",0.587623960374158,0.0222475324505129,0.449604973578443,0.0165588824774196,0.870809129655583,0.0107700324667796
0.2,"CART","regAENN",0.600399325266743,0.0202395091551633,0.461033550715734,0.015902435703644,0.865269621983324,0.0086723150562591
0.3,"CART","regAENN",0.613534351875459,0.0210607157422801,0.470202362823012,0.0178371423335689,0.859325735979208,0.0088657175743836
0.4,"CART","regAENN",0.615878418659539,0.0184832626044108,0.477114832737728,0.0133023353690188,0.858240250622709,0.00849220798941127
0,"CART","regEF",0.59054883092825,0.0153456160549027,0.44891835105739,0.0119646424337023,0.869662318742811,0.00730615591741054
0.1,"CART","regEF",0.598035327165215,0.017096727280972,0.456304164041549,0.0136475679682358,0.866304715949757,0.00838881980246315
0.2,"CART","regEF",0.603404907670169,0.0160856650929716,0.461032805572922,0.0131769719985814,0.863932098389562,0.00750068753530204
0.3,"CART","regEF",0.639077860219259,0.018240386991457,0.495576189843878,0.0154876770624232,0.847360698946503,0.00877643661387295
0.4,"CART","regEF",0.650615952224987,0.0225850056484854,0.511333469960554,0.0224550329161815,0.841747666030897,0.0108814889462714
0,"CART","regCVCF",0.590198548675518,0.014333295726659,0.445686610314991,0.00956734272024431,0.869833021664333,0.00673262292712
0.1,"CART","regCVCF",0.623090738788329,0.0227210583738521,0.475027613635421,0.0190499351071775,0.854823181565054,0.0106450492721433
0.2,"CART","regCVCF",0.622470140604096,0.0230450949926425,0.477811261734209,0.01879549803976,0.855154883220795,0.0102529459285422
0.3,"CART","regCVCF",0.660568751873785,0.0244019575800942,0.512221693041004,0.0195844610313856,0.83686847909674,0.01169080492583
0.4,"CART","regCVCF",0.692563487664384,0.0183802574813168,0.546804446173937,0.0184506383555511,0.820781755519126,0.0091936966483557
0,"RF","Ningún",0.217918048716315,0.00755353174987263,0.154231491001771,0.00361387119390835,0.982247776971584,0.00121567562935288
0.1,"RF","Ningún",0.404652008859116,0.0113334925613108,0.300779907557684,0.00913484351147047,0.938816822263135,0.00326492900812409
0.2,"RF","Ningún",0.591935283334904,0.0154292609988983,0.454301133002096,0.0117398378917288,0.869056679345046,0.00707527777501127
0.3,"RF","Ningún",0.75662357483569,0.0229215556949797,0.596231771460027,0.0161357764462908,0.786027821952533,0.0131145146272997
0.4,"RF","Ningún",0.97083048533449,0.0213593732907386,0.773028327875818,0.0163716607566723,0.647900588867082,0.0149027740694202
0,"RF","regENN",0.218049286549956,0.00678577767451151,0.154420844459318,0.0031189655741462,0.982230169179305,0.00108974952827569
0.1,"RF","regENN",0.233086579709182,0.00785622990745335,0.167444233515173,0.00461329921695482,0.979689733848661,0.00137583736510434
0.2,"RF","regENN",0.261636513723304,0.00657095392215633,0.193389091449069,0.00391719959666159,0.974429047646762,0.00112465513887375
0.3,"RF","regENN",0.305749282725743,0.011739408687453,0.230040603357504,0.00866959718701494,0.96504678201188,0.00260412399780479
0.4,"RF","regENN",0.447809659738704,0.0234194933661218,0.332542509412373,0.0151407514954659,0.924932511800691,0.00776452460710675
0,"RF","regAENN",0.218341619234583,0.00668050989459479,0.154643792568453,0.00343840923322924,0.982182832107365,0.00107309792108982
0.1,"RF","regAENN",0.233930242837147,0.00809018883096071,0.167388856822907,0.00431856447506045,0.979546611105075,0.00133398384047207
0.2,"RF","regAENN",0.256720438367512,0.00599775591554245,0.187968519449049,0.00401312080800526,0.97537901347245,0.00108813456809948
0.3,"RF","regAENN",0.279651829386074,0.00939668655268546,0.208176602120063,0.00610340110374879,0.970770107393554,0.00188206373812528
0.4,"RF","regAENN",0.349156875761149,0.0139207886986341,0.260206284498674,0.0102595255754408,0.954413583846123,0.00348721981876766
0,"RF","regEF",0.218408016394864,0.00677748778807185,0.154540329277097,0.00313754339635267,0.982170115643749,0.00111006144014268
0.1,"RF","regEF",0.229516934657904,0.00661227536292982,0.165161583217659,0.00368606335237899,0.980315447039193,0.00108866748061791
0.2,"RF","regEF",0.252425612999361,0.00644399252615171,0.184621917402579,0.00415702049814474,0.976192092346035,0.00119150775943417
0.3,"RF","regEF",0.292816572219296,0.00948196018021005,0.21739438937214,0.00559564895095452,0.967958388966718,0.00191475306138723
0.4,"RF","regEF",0.373011869091682,0.010245725121842,0.286323986509253,0.00831057570872233,0.948015421101905,0.00262545663297995
0,"RF","regCVCF",0.231079312835493,0.00660551721475212,0.158838731083705,0.00340035078441516,0.980044466005492,0.00114085001989117
0.1,"RF","regCVCF",0.252025702101492,0.00876467495262123,0.176409947787913,0.0038144636155953,0.976257935000923,0.0015888669280471
0.2,"RF","regCVCF",0.285497627915718,0.0110392833026989,0.203798872113254,0.00572427116570687,0.969519654293518,0.002358958336552
0.3,"RF","regCVCF",0.361445160686851,0.0124332759369418,0.255775385341251,0.00693910355736351,0.951180690396737,0.00303513168788563
0.4,"RF","regCVCF",0.475597396146387,0.0196063015135426,0.344386915583246,0.0136519800422934,0.915405691183128,0.00686300818459605
0,"SVM","Ningún",0.186857511603731,0.00672708200988581,0.132392245554366,0.0026771566518949,0.986945318389357,0.000951428306989819
0.1,"SVM","Ningún",0.200876748737013,0.00880956408759271,0.144606508050436,0.00374151928270781,0.98490390608644,0.00134003373162522
0.2,"SVM","Ningún",0.216014993550179,0.00843451942160222,0.159175784592281,0.00359107654930154,0.98254527158067,0.00142708249846215
0.3,"SVM","Ningún",0.253694407400112,0.0110911234606782,0.184032815693948,0.00358244765693529,0.975927716582529,0.0020216320246511
0.4,"SVM","Ningún",0.363065724135297,0.0493397972331496,0.238730465521357,0.0127011144077301,0.949944682621561,0.0138222351327657
0,"SVM","regENN",0.187218832829846,0.00671872261840066,0.132572461323875,0.00264499787268102,0.986895161672747,0.000948375272289371
0.1,"SVM","regENN",0.193682690291991,0.00646290503641781,0.136340950967783,0.00243804313593831,0.985976808780718,0.00094403895872947
0.2,"SVM","regENN",0.201177255289179,0.00704182034602312,0.14212165369115,0.00234298030397616,0.984868767083102,0.00106741360709287
0.3,"SVM","regENN",0.221855676643433,0.0100343722434235,0.15354268374597,0.00333323974064564,0.981589423212391,0.00161239577400692
0.4,"SVM","regENN",0.288779043741912,0.0211688976272394,0.189293723477144,0.00753674062708942,0.968711210972598,0.00450959174581756
0,"SVM","regAENN",0.187774999006268,0.00670135664003972,0.132888064178777,0.0026823056964473,0.98681729111519,0.000948828232243882
0.1,"SVM","regAENN",0.196900324368357,0.00667466788621538,0.13831230187808,0.00235403752170143,0.98550754552194,0.000972677741581438
0.2,"SVM","regAENN",0.211528695466592,0.00898419880293858,0.146136111025882,0.00265426449031945,0.983260596695031,0.00144329751481905
0.3,"SVM","regAENN",0.23039510205119,0.00980001015462063,0.158524479090572,0.00372630753276742,0.98014918783561,0.00162524231053106
0.4,"SVM","regAENN",0.297180955944335,0.0206187837868256,0.191816758221868,0.00697651744171422,0.96687827412105,0.00452828715009101
0,"SVM","regEF",0.187078085575153,0.0067468043941338,0.132574073854123,0.00267332998459457,0.986914547331464,0.000954333691430292
0.1,"SVM","regEF",0.191380754150908,0.00679732717101814,0.135122208527287,0.00255852145560131,0.9863056717058,0.000986312268760904
0.2,"SVM","regEF",0.198777696706029,0.00777919584817802,0.140176102827685,0.00263337959895346,0.98522189059476,0.00119778833771921
0.3,"SVM","regEF",0.214659574376898,0.00999527672811342,0.148679351050939,0.00323512837259989,0.98276138985339,0.00157504418266304
0.4,"SVM","regEF",0.255020178085083,0.015086173461942,0.171460351999386,0.00519740843549881,0.975644947602641,0.00277265061235127
0,"SVM","regCVCF",0.199988290084544,0.00777893821751205,0.136133404117688,0.00265879557586704,0.985041262134307,0.00119916489621029
0.1,"SVM","regCVCF",0.203371302572108,0.00847079982223694,0.138631033045852,0.00261312714596395,0.984527209473891,0.00131963974309128
0.2,"SVM","regCVCF",0.216943069625028,0.0132048994863676,0.146635400518938,0.00417075799242909,0.98236620196121,0.00211770850456405
0.3,"SVM","regCVCF",0.260591383671395,0.0144909712736262,0.162425238885284,0.00433840568942392,0.974577577678537,0.00273572065903285
0.4,"SVM","regCVCF",0.304790034871802,0.0207952558955417,0.190206478596632,0.00756820434555671,0.965169983115469,0.00471650362104603
