"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.8703 ± 0.0070","0.8433 ± 0.0110","0.7726 ± 0.0135","0.7113 ± 0.0079","0.6108 ± 0.0192"
"regENN","0.8691 ± 0.0078","0.8675 ± 0.0099","0.8681 ± 0.0077","0.8539 ± 0.0097","0.8440 ± 0.0071"
"regAENN","0.8693 ± 0.0079","0.8708 ± 0.0108","0.8653 ± 0.0087","0.8593 ± 0.0089","0.8582 ± 0.0085"
"regEF","0.8697 ± 0.0073","0.8663 ± 0.0084","0.8639 ± 0.0075","0.8474 ± 0.0088","0.8417 ± 0.0109"
"regCVCF","0.8698 ± 0.0067","0.8548 ± 0.0106","0.8552 ± 0.0103","0.8369 ± 0.0117","0.8208 ± 0.0092"
