"Filtro","0%","10%","20%","30%","40%"
"Ningún","0.7463 ± 0.0138","0.4255 ± 0.0629","0.1011 ± 0.0732","-0.3081 ± 0.0737","-0.6539 ± 0.1254"
"regENN","0.7462 ± 0.0136","0.7183 ± 0.0141","0.6946 ± 0.0156","0.6379 ± 0.0145","0.5075 ± 0.0320"
"regAENN","0.7460 ± 0.0135","0.7175 ± 0.0146","0.6979 ± 0.0167","0.6555 ± 0.0162","0.5922 ± 0.0263"
"regEF","0.7462 ± 0.0138","0.7219 ± 0.0144","0.7058 ± 0.0141","0.6643 ± 0.0150","0.6153 ± 0.0200"
"regCVCF","0.7447 ± 0.0143","0.7176 ± 0.0142","0.6964 ± 0.0163","0.6428 ± 0.0157","0.5863 ± 0.0275"
